,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
86,2021-1-27,83,30,12,41,360.12,2.06,1.96,318.63,1.8,1.73,282.42,1.58,1.83,413.22,2.39,2.17
87,2021-1-28,92,36,7,49,393.04,2.76,2.0,391.06,2.86,1.64,614.43,4.14,2.14,362.88,2.49,2.24
88,2021-1-29,231,58,9,164,388.21,12.79,0.95,357.33,2.09,1.12,216.78,2.0,1.0,364.27,12.67,0.88
89,2021-1-30,362,84,37,241,500.89,7.74,1.7,401.61,2.15,2.07,463.05,1.95,1.49,501.15,7.56,1.61
90,2021-1-31,197,57,13,127,499.37,2.01,1.68,519.58,2.47,1.82,733.08,4.0,1.92,466.38,1.59,1.59
91,2021-2-1,320,63,28,229,602.83,2.5,1.71,464.97,3.0,1.57,327.43,2.11,1.54,617.74,2.41,1.78
92,2021-2-2,323,75,28,220,499.19,2.63,1.68,388.72,2.13,1.64,425.46,3.96,1.54,501.31,2.62,1.71
93,2021-2-3,344,67,29,248,465.49,2.14,1.4,421.0,2.15,1.38,398.52,3.14,1.66,477.53,2.01,1.38
94,2021-2-4,204,54,25,125,478.08,1.99,1.68,422.11,2.02,1.85,432.72,1.72,1.72,419.69,2.03,1.6
95,2021-2-5,272,79,23,170,443.34,2.5,1.25,470.35,4.09,1.34,398.36,1.86,1.64,402.63,1.83,1.15
96,2021-2-6,112,36,12,64,665.44,4.82,2.12,1028.28,8.97,3.06,450.17,3.5,1.83,501.7,2.73,1.64
97,2021-2-7,82,19,10,53,602.71,3.44,1.83,400.63,2.32,1.42,931.3,7.5,2.1,613.15,3.08,1.92
98,2021-2-8,345,79,26,240,510.33,2.53,1.71,368.8,2.42,1.68,299.92,2.65,1.54,526.84,2.55,1.74
99,2021-2-9,235,104,28,103,426.44,2.15,1.53,398.79,1.83,1.68,350.5,1.86,1.21,475.0,2.56,1.47
100,2021-2-10,135,63,8,64,527.07,2.02,2.27,429.27,2.29,2.67,426.25,2.88,1.88,552.03,1.65,1.92
101,2021-2-11,38,21,2,15,566.39,2.08,4.66,501.14,1.67,5.81,343.0,0.5,5.0,687.53,2.87,3.0
102,2021-2-12,32,15,1,16,525.91,1.53,3.72,522.47,1.67,4.87,909.0,0.0,4.0,505.19,1.5,2.63
103,2021-2-13,13,4,2,7,663.31,2.62,3.46,275.25,0.25,2.25,270.5,2.0,2.5,997.29,4.14,4.43
104,2021-2-14,26,12,0,14,724.73,3.08,3.23,839.5,4.42,3.25,0.0,0.0,0.0,626.36,1.93,3.21
105,2021-2-15,23,13,1,9,735.09,3.17,3.7,579.31,2.23,4.0,1002.0,0.0,4.0,930.44,4.89,3.22
106,2021-2-16,31,13,2,16,619.13,3.0,3.32,574.15,2.54,3.31,1138.5,6.0,5.5,590.75,3.0,3.06
107,2021-2-17,45,16,6,23,506.4,1.98,2.2,428.44,2.13,2.94,429.67,2.33,1.33,580.65,1.78,1.91
108,2021-2-18,154,55,15,84,491.16,1.67,1.36,449.25,2.15,1.67,533.08,2.08,0.92,448.37,1.28,1.22
109,2021-2-19,88,40,3,45,504.78,2.47,2.08,589.15,3.0,2.43,477.33,4.0,1.33,431.62,1.89,1.82
110,2021-2-20,36,14,1,21,665.72,4.42,1.47,973.57,4.07,1.71,379.0,3.0,3.0,474.14,4.71,1.24
111,2021-2-21,39,17,2,20,539.85,2.9,2.21,562.76,3.82,2.59,294.0,1.0,0.5,544.95,2.3,2.05
112,2021-2-22,108,56,5,47,550.8,2.83,2.87,589.02,2.77,2.96,499.4,2.4,2.4,510.72,2.96,2.81
113,2021-2-23,167,81,13,73,624.85,2.7,2.01,570.04,2.33,1.55,678.62,5.23,5.0,659.46,2.65,1.97
114,2021-2-24,184,94,14,76,568.21,2.21,2.53,617.55,2.47,2.54,415.71,1.0,2.14,437.63,2.12,2.59
115,2021-2-25,166,60,24,82,466.6,1.35,1.25,458.93,1.76,1.39,499.29,1.63,1.13,439.77,0.96,1.19
116,2021-2-26,97,31,9,57,540.56,2.49,1.48,846.55,4.42,2.45,411.56,2.0,0.56,394.51,1.53,1.11
117,2021-2-27,31,16,5,10,609.42,2.16,3.0,613.63,2.63,3.06,678.6,1.6,2.0,568.1,1.7,3.4
118,2021-2-28,43,15,4,24,773.43,4.07,2.63,812.29,3.5,2.86,365.0,1.33,1.67,731.54,4.75,2.63
119,2021-3-1,152,49,13,90,497.26,2.07,2.41,421.8,1.65,2.69,621.85,3.38,2.77,520.36,2.11,2.21
120,2021-3-2,132,53,9,70,381.87,1.53,1.24,357.96,1.15,1.21,557.0,3.89,0.78,377.46,1.51,1.33
121,2021-3-3,110,37,10,63,502.27,2.35,1.58,430.16,1.97,1.43,913.6,4.0,2.4,479.33,2.32,1.54
122,2021-3-4,149,64,19,66,512.36,2.27,2.04,483.02,2.86,2.61,370.84,1.58,1.53,474.08,1.89,1.63
123,2021-3-5,155,64,14,77,593.82,2.86,2.82,623.3,3.16,3.33,527.71,3.79,2.71,581.34,2.45,2.42
124,2021-3-6,72,23,9,40,750.33,2.88,3.01,678.39,2.57,2.7,651.11,2.0,3.11,814.03,3.25,3.18
125,2021-3-7,52,23,2,27,689.98,3.21,2.13,660.96,2.83,2.65,140.0,1.0,0.5,755.44,3.7,1.81
126,2021-3-8,121,54,13,54,478.85,1.75,3.08,423.11,1.87,3.43,545.5,1.75,2.92,383.78,1.63,2.76
127,2021-3-9,116,50,6,60,434.78,1.81,2.53,534.82,2.36,2.48,312.33,1.5,1.17,363.67,1.38,2.7
128,2021-3-10,93,36,2,55,498.69,1.88,3.78,435.03,1.39,3.14,422.5,1.0,1.5,543.13,2.24,4.29
129,2021-3-11,83,17,4,62,481.54,2.19,2.73,372.65,1.65,2.24,408.75,2.25,4.5,516.1,2.34,2.76
130,2021-3-12,79,35,5,39,402.32,1.56,2.81,414.09,1.34,2.83,254.8,1.6,3.2,410.67,1.74,2.74
131,2021-3-13,56,15,6,35,450.14,2.14,2.34,495.93,1.6,2.2,670.0,2.5,2.0,392.83,2.31,2.46
132,2021-3-14,48,23,2,23,506.5,2.27,2.35,457.09,2.39,1.87,379.0,1.0,5.0,567.0,2.26,2.61
133,2021-3-15,72,27,5,40,476.14,2.04,2.61,570.74,2.93,3.33,413.2,1.2,1.8,420.15,1.55,2.23
134,2021-3-16,73,20,5,48,469.05,2.04,2.93,499.9,2.25,3.05,410.6,1.4,2.0,462.29,2.02,2.98
135,2021-3-17,89,33,4,52,403.28,1.74,1.66,466.73,1.73,1.73,397.5,2.0,1.75,363.46,1.73,1.62
136,2021-3-18,83,28,3,52,545.99,2.59,2.98,431.89,1.89,3.21,700.67,4.33,2.0,558.8,2.86,2.9
137,2021-3-19,54,22,5,27,476.41,2.02,4.11,582.77,2.55,4.59,546.6,3.4,3.6,376.74,1.33,3.81
138,2021-3-20,56,17,1,38,448.83,11.3,2.35,509.88,1.71,3.06,223.0,0.0,3.0,396.78,11.64,2.0
139,2021-3-21,49,21,1,27,672.79,2.46,1.96,569.48,1.81,1.81,426.0,0.0,2.0,695.25,3.13,2.08
140,2021-3-22,105,41,10,54,537.98,1.84,2.88,521.6,1.58,3.15,596.4,2.1,3.4,444.48,1.98,2.59
141,2021-3-23,104,32,11,61,423.88,1.41,1.63,475.78,1.66,2.03,322.0,0.91,0.91,415.03,1.38,1.56
142,2021-3-24,110,40,8,62,371.8,2.07,2.34,361.05,2.03,2.23,573.25,1.75,3.88,352.74,2.15,2.21
143,2021-3-25,132,58,8,66,595.11,2.65,2.45,607.9,3.14,2.9,432.0,1.88,3.0,530.66,2.31,1.98
144,2021-3-26,97,41,11,45,478.34,2.24,2.51,463.1,2.02,2.37,559.09,2.09,2.09,472.49,2.47,2.73
145,2021-3-27,56,17,6,33,482.69,3.85,2.76,421.76,1.82,2.53,521.8,3.2,3.2,409.67,1.97,2.82
146,2021-3-28,49,17,6,26,589.55,1.96,2.69,576.06,2.0,3.0,725.0,2.67,1.17,567.12,1.77,2.85
147,2021-3-29,96,35,7,54,441.66,1.81,2.27,471.83,1.86,2.86,565.43,2.43,2.57,406.06,1.7,1.85
148,2021-3-30,78,33,2,43,419.78,1.6,3.36,533.39,2.45,3.42,339.5,1.5,2.5,336.33,0.95,3.35
149,2021-3-31,76,30,7,39,475.0,1.37,1.16,400.17,1.03,1.1,295.57,0.57,1.0,505.44,1.81,1.25
150,2021-4-1,64,17,6,41,511.83,2.28,1.86,510.41,2.47,2.53,528.0,4.83,1.33,510.05,1.83,1.66
151,2021-4-2,66,24,9,33,408.94,1.79,1.14,450.54,2.04,1.46,353.56,1.78,1.11,393.79,1.61,0.91
152,2021-4-3,35,20,1,14,537.14,2.09,1.57,512.65,2.75,1.85,254.0,0.0,0.0,592.36,1.29,1.29
